Mes;T;TM;Tm_1;R;H;DR;DN;DT;DF;DH;DD;I;Codigo
Julio;23.8;26.9;20.8;0;65;0;0;0;0;0;11.6;308;35
Agosto;24.6;27.5;21.6;0;66;0.1;0;0.1;0;0;11.6;300;35
Septiembre;24.3;27.2;21.4;9;68;1.1;0;0.3;0;0;6.7;242;35
Octubre;23.1;26.2;20.1;16;69;2.3;0;0.3;0;0;4.1;220;35
Noviembre;21.2;24.2;18.1;22;67;3.9;0;0.3;0;0;3.6;185;35
Diciembre;19.2;22.2;16.2;31;68;4.5;0;0.5;0;0;3.9;179;35
Año;21.1;24.2;18;151;66;22.1;0;2.7;0.3;0;70.9;;35
Enero;9.6;12.9;6.3;178;77;14.3;0.1;1.3;2;0.6;6.5;103;36
Febrero;10.4;14.2;6.5;133;72;11.3;0;0.8;1.8;0.4;6.1;123;36
Marzo;12.4;16.9;7.8;120;68;11.2;0;1.1;1.5;0.2;7.5;181;36
Abril;13;17.6;8.4;143;69;14.2;0;1.2;1.9;0;5.7;203;36
Mayo;15.8;20.6;10.9;118;69;12;0;2.2;1.9;0;5.2;238;36
Junio;18.6;23.8;13.4;64;67;7;0;0.8;2.6;0;9.2;262;36
Julio;20.4;25.9;14.9;44;67;5.1;0;0.7;3.1;0;12.7;294;36
Agosto;20.6;26;15.2;56;68;5.5;0;0.8;3.7;0;10.8;279;36
Septiembre;18.8;23.7;13.8;95;72;8.4;0;0.9;4.2;0;9.2;224;36
Octubre;15.7;19.6;11.7;224;76;13.6;0;1.5;3.1;0;6.1;145;36
Noviembre;12.1;15.4;8.7;222;78;14.1;0;1.3;2.7;0;6;104;36
Diciembre;10.3;13.4;7.1;216;77;14.4;0;1.2;2.9;0.5;7.2;91;36
Año;14.8;19.2;10.4;1613;72;131.3;0.2;13.9;31.9;1.8;92.5;;36
Enero;4;8.6;-0.7;30;82;5.8;1.6;0;9.1;18.5;4;118;37
Febrero;5.5;11.2;-0.2;25;73;5.4;1.9;0.1;4.4;15.7;4.5;154;37
Marzo;8.3;14.9;1.7;21;63;4.7;0.8;0.4;2;10.2;6.4;211;37
Abril;10.1;16.5;3.8;38;62;7.4;0.8;0.9;1.6;3.9;4.1;224;37
Mayo;14;20.6;7.3;47;59;7.9;0.2;2.7;0.8;0.6;3.4;265;37
Junio;18.8;26.6;11;29;52;3.8;0;3.5;0.5;0;7.5;317;37
Julio;21.5;30;12.9;11;47;1.8;0;2.5;0.1;0;14.9;358;37
Agosto;21.1;29.5;12.6;12;51;1.9;0;2.1;0.1;0;12.1;330;37
Septiembre;17.6;25.1;10;32;59;4.2;0;2.1;1.1;0;7.3;251;37
Octubre;12.6;18.9;6.4;46;71;7.1;0;0.6;3.6;1.4;4.3;183;37
Noviembre;7.6;12.8;2.4;40;79;6.9;0.5;0.2;6.6;10.4;4.1;130;37
Diciembre;4.9;9.4;0.4;42;83;6.9;1.2;0.1;8.9;16;3.8;104;37
Año;12.2;18.7;5.6;372;65;63.8;6.8;15.1;38.9;76.8;77.2;2667;37
Enero;18.2;21;15.4;32;64;4.2;0;0.3;0;0;3.4;178;38
Febrero;18.3;21.2;15.3;35;65;3.8;0;0.4;0.1;0;4.7;186;38
Marzo;19;22.1;15.9;38;62;3.8;0;0.2;0;0;5.3;221;38
Abril;19.7;22.7;16.5;12;61;2.4;0;0.1;0;0;4.3;237;38
Mayo;21;24.1;17.8;4;61;0.9;0;0;0;0;5.7;282;38
Junio;22.9;26.2;19.5;1;61;0.2;0;0;0;0;12;306;38
Julio;25;28.7;21.2;0;58;0;0;0;0;0;19.8;337;38
Agosto;25.5;29;21.9;2;60;0.3;0;0;0;0;17.8;319;38
Septiembre;24.9;28.1;21.7;7;64;0.9;0;0.2;0;0;7.8;253;38
Octubre;23.4;26.3;20.3;19;66;3.1;0;0.1;0;0;4.5;222;38
Noviembre;21.3;24.1;18.4;34;65;4.7;0;0.3;0.1;0;3.1;178;38
Diciembre;19.4;22.1;16.6;43;66;5.4;0;0.5;0;0;3;168;38
Año;21.5;24.6;18.4;226;63;29.7;0;2.2;0.3;0;92;2913;38
Enero;9.7;13.6;5.8;106;72;12.3;0.4;0.8;0.8;2.1;2.9;85;39
Febrero;9.8;13.8;5.7;92;72;11.1;0.3;1.1;0.9;1.2;3.1;104;39
Marzo;11.3;15.7;7;88;71;9.9;0.1;0.9;1.2;0.4;2.9;135;39
Abril;12.4;16.6;8.3;102;72;11.9;0;1.3;0.7;0;2.4;149;39
Mayo;15.1;19.1;11.1;78;74;10.4;0;1.6;1.7;0;2.4;172;39
Junio;17.8;21.6;13.9;58;75;7.6;0;1.8;1.2;0;3.7;178;39
Julio;19.8;23.6;16;52;75;7.3;0;2;0.5;0;4.5;187;39
Agosto;20.3;24.2;16.4;73;76;7.6;0;1.4;0.8;0;3.8;180;39
Septiembre;18.6;22.8;14.4;83;76;8.9;0;1.5;1.9;0;4.6;160;39
Octubre;16.1;20.3;11.8;120;75;11.1;0;1;2.1;0;2.8;129;39
Noviembre;12.5;16.3;8.7;157;75;13.3;0;1.3;0.9;0.4;3.2;93;39
Diciembre;10.5;14.2;6.7;118;73;12.1;0.1;0.9;0.6;2;3.4;74;39
Año;14.5;18.5;10.5;1129;74;123.6;0.9;15.7;13.4;6.2;38.9;1649;39
Enero;4.3;8.2;0.3;38;74;6.9;;0;3.9;14.5;4.5;124;40
Febrero;5.8;10.4;1.1;31;66;6;3.1;0;2;10;4.8;152;40
Marzo;8.6;13.9;3.2;30;59;5.9;1.7;0.1;1.3;6.1;5.4;203;40
Abril;9.7;15.1;4.2;44;59;8;1.5;0.8;0.6;4.2;3.4;213;40
Mayo;14;19.7;8.2;66;57;10.1;0.2;3.7;0.7;0.5;3.3;250;40
Junio;19;25.8;12.1;43;48;4.8;0;4.2;0.6;0;6.9;314;40
Julio;22.2;29.7;14.6;17;39;2.7;0;2.6;0.2;0;12.5;358;40
Agosto;22.1;29.4;14.8;20;40;3;0;3.8;0.1;0;10.4;328;40
Septiembre;17.7;24;11.4;28;50;4.7;0;2.1;0.4;0;5.8;246;40
Octubre;13;18;7.9;59;63;8.9;0.1;0.6;1;0.7;4;177;40
Noviembre;7.6;11.8;3.4;52;72;8.6;1.6;0;2.7;5.8;3.9;126;40
Diciembre;5.1;8.8;1.3;46;75;8.2;2.2;0;4.1;11.7;3.6;110;40
Año;12.4;17.9;6.9;479;59;78.6;;18.1;17.6;53.1;;;40
Enero;10.9;16;5.7;66;71;6.1;0;0.4;2.7;1.8;11.2;183;41
Febrero;12.5;18.1;7;50;67;5.8;0;0.5;3;0.7;7.9;189;41
Marzo;15.6;21.9;9.2;36;59;4.3;0;0.6;2.3;0;8.6;220;41
Abril;17.3;23.4;11.1;54;57;6.1;0;1.4;1.4;0;6;238;41
Mayo;20.7;27.2;14.2;30;53;3.7;0;1.2;0.7;0;6.9;293;41
Junio;25.1;32.2;18;10;48;1.3;0;0.7;0.2;0;12.9;317;41
Julio;28.2;36;20.3;2;44;0.2;0;0.2;0.2;0;21.1;354;41
Agosto;27.9;35.5;20.4;5;48;0.5;0;0.4;0.2;0;18.7;328;41
Septiembre;25;31.7;18.2;27;54;2.4;0;0.8;0.5;0;10.3;244;41
Octubre;20.2;26;14.4;68;62;6.1;0;1.2;2.4;0;7.8;216;41
Noviembre;15.1;20.2;10;91;70;6.4;0;0.9;2.1;0;8;181;41
Diciembre;11.9;16.6;7.3;99;74;7.5;0;0.8;3;0.5;8.4;154;41
Año;19.2;25.4;13;539;59;50.5;0;9.1;18.7;3.2;129;;41
Enero;3.2;7.7;-1.3;37;77;7.1;5;0;4;19.7;4.8;138;42
Febrero;4.3;9.6;-1;36;71;6.4;5.1;0.1;1.9;17.1;4.6;158;42
Marzo;7.1;13.2;1;30;63;5.8;3;0.3;1;12;5.1;202;42
Abril;8.7;14.6;2.8;55;64;8.6;2.5;1.3;1;5.9;2.8;208;42
Mayo;12.5;18.7;6.2;67;63;9.6;0.4;4.4;1.1;0.8;2;244;42
Junio;17.2;24.6;9.9;40;56;5.6;0.1;4.4;0.6;0.1;4.7;293;42
Julio;20.5;28.7;12.4;30;50;3.7;0;4.1;0.1;0;9;339;42
Agosto;20.3;28.3;12.2;30;52;3.8;0;4.4;0.2;0;7.4;313;42
Septiembre;16.4;23.6;9.3;33;60;5.2;0;2.9;0.9;0.1;5.4;233;42
Octubre;11.6;17.4;5.8;55;70;7.7;0.1;0.7;2.1;1.5;3.6;180;42
Noviembre;6.7;11.5;1.9;50;75;7.6;2.1;0.1;2.7;9.2;4.9;143;42
Diciembre;4;8.4;-0.4;50;78;7.7;3.9;0.1;4.7;17.4;5.3;126;42
Año;11;17.2;4.9;512;65;78.8;21.4;23.2;20.3;83.3;60.6;2571;42
Enero;9;14.1;3.9;29;70;4;0.2;0.2;0.3;5.7;7.2;157;43
Febrero;9.7;14.9;4.5;28;68;3.5;0.1;0.1;1.3;2.9;5.4;162;43
Marzo;11.9;17.1;6.6;28;67;3.8;0.1;0.3;1.9;0.8;6;197;43
Abril;13.8;19;8.6;37;66;5;0;0.5;0.8;0;3.9;222;43
Mayo;17.2;22.2;12.1;54;66;5.4;0;1.5;0.4;0;4.2;251;43
Junio;21.2;26.3;16.1;25;63;3.1;0;1.4;0.2;0;6.3;274;43
Julio;24.2;29.3;19.1;15;63;2;0;1.3;0.1;0;9.4;306;43
Agosto;24.6;29.4;19.7;42;66;3.6;0;2.6;0.2;0;6.2;265;43
Septiembre;21.5;26.3;16.6;77;70;5.1;0;3.1;0.2;0;4.8;209;43
Octubre;17.5;22.3;12.7;75;73;6;0;1.9;0.4;0;3.9;182;43
Noviembre;12.6;17.5;7.6;53;72;4.4;0;0.6;0.3;1.3;5.4;157;43
Diciembre;9.7;14.6;4.7;36;72;4.1;0;0.3;0.7;3.6;5.7;145;43
Año;16.1;21.1;11.1;500;68;49.8;0.4;13.9;6.7;12.5;68.3;;43
Enero;3.7;9.7;-2.3;19;76;3.7;2.5;0;3.8;21.9;;;44
Febrero;5.3;12.1;-1.6;15;68;3;2.6;0;2.3;19.4;5.7;;44
Marzo;8.2;15.7;0.8;21;63;3.8;1.9;0.4;1.4;13.2;6.8;;44
Abril;9.9;17;2.8;39;62;6.3;1.5;0.6;1;6.6;3.3;218;44
Mayo;14.3;21.8;6.8;57;61;7.6;0.2;3.2;1;0.5;3.1;;44
Junio;18.7;27;10.5;46;57;6.1;0;4.3;0.8;0;;;44
Julio;22.2;31.3;13;26;52;2.7;0;4.2;0.4;0;;;44
Agosto;22;30.7;13.2;34;56;3.8;0;5.3;0.9;0;;;44
Septiembre;17.6;25.3;9.9;36;63;5.1;0;3.4;2.4;0;5.9;231;44
Octubre;12.7;19.3;6;47;71;6.6;0;1.2;4;1.4;4.6;;44
Noviembre;7.2;13.4;0.9;22;74;4.3;0.9;0.1;3.7;13.2;;;44
Diciembre;4.2;9.9;-1.4;19;78;4.5;1.7;0.1;3.7;19.4;;;44
Año;12.2;19.4;4.9;378;65;57.4;11.2;22.2;24;94.9;;;44
Enero;6.4;11.5;1.3;26;76;4.9;0.6;0.1;7.5;12.7;7;151;45
Febrero;8.3;14;2.6;25;69;4.7;0.5;0.2;4;6.9;6.5;172;45
Marzo;11.6;18.1;5;23;59;3.9;0.3;0.3;1.3;2.3;7.4;228;45
Abril;13.5;19.9;7.2;39;58;6.4;0.1;1;0.9;0.3;5.6;249;45
Mayo;17.6;24.2;11;44;54;6.4;0;3.4;0.8;0;4.7;286;45
Junio;23.2;30.5;15.9;24;45;2.9;0;2.9;0.1;0;10.3;337;45
Julio;26.8;34.6;18.9;7;39;1;0;1.5;0;0;18.5;382;45
Agosto;26.3;34;18.6;9;41;1.5;0;2.1;0;0;15.1;351;45
Septiembre;22;29;14.9;18;51;2.9;0;1.8;0.4;0;9.5;260;45
Octubre;16.1;22.1;10.2;48;66;6.8;0;1;2.1;0;6;210;45
Noviembre;10.5;15.6;5.3;39;74;5.9;0.1;0.2;6.6;3.3;5.8;157;45
Diciembre;7.1;11.6;2.5;41;79;6.3;0.2;0;7.9;9.8;6;126;45
Año;15.8;22.1;9.5;342;59;53.8;1.8;14.3;31.8;35.5;101.5;2922;45
Enero;10.5;15.8;5.1;37;66;4;0.2;0.3;0.6;2.3;8.4;176;46
Febrero;11.4;16.8;5.9;34;65;3.8;0;0.2;1.3;1.2;6.6;172;46
Marzo;13.6;19.3;7.8;30;61;3.3;0;0.1;0.8;0.4;6.7;220;46
Abril;15.5;21.1;10;40;59;4.7;0;1.1;0.4;0;5.1;238;46
Mayo;18.7;24.1;13.4;38;60;4.5;0;1.9;0.3;0;5.4;268;46
Junio;22.7;27.8;17.5;18;59;2.6;0;2;0.2;0;9;294;46
Julio;25.5;30.6;20.5;12;61;1.1;0;1.7;0.1;0;13.3;328;46
Agosto;25.9;30.8;20.9;16;63;2;0;2.3;0.1;0;10;292;46
Septiembre;23;28;18;63;65;4.8;0;3.1;0.1;0;6.6;236;46
Octubre;19;24.1;13.9;72;67;4.7;0;1.8;0.4;0;5.1;207;46
Noviembre;14.2;19.3;9.2;51;67;4.1;0;0.6;0.1;0.1;6.1;168;46
Diciembre;11.2;16.2;6.1;48;67;4.4;0;0.2;0.6;1.8;7.8;160;46
Año;17.6;22.8;12.4;461;63;43.9;0.2;15.5;5.1;4.9;92.5;;46
Enero;3.3;7.5;-0.9;36;86;6.4;2.5;0.1;10.8;19.6;3.6;118;47
Febrero;4.9;10.3;-0.4;26;76;5.4;2.4;0;5;16.5;4;158;47
Marzo;7.8;14;1.5;23;66;4.9;0.6;0.1;2.8;11;6.6;205;47
Abril;9.3;15.5;3;43;66;7.6;0.8;1.2;1.5;6.3;4.4;227;47
Mayo;12.8;19.4;6.2;53;64;8;0.1;3.3;1.9;1.5;3.9;274;47
Junio;17.6;25.3;9.9;30;56;4.6;0;3.1;0.7;0;8.3;323;47
Julio;20.6;29.1;12.1;15;48;2.2;0;2.6;0.3;0;13.7;368;47
Agosto;20.5;28.6;12.4;21;51;2.6;0;2.4;0.4;0;11.9;342;47
Septiembre;17.2;24.4;10.1;32;60;4.5;0;1.7;1.2;0;8;242;47
Octubre;12.2;17.9;6.5;52;74;7.5;0;0.6;3.8;1.1;4.7;191;47
Noviembre;7.1;11.8;2.3;51;83;7.2;0.9;0.1;7.4;9.1;3.3;133;47
Diciembre;4.1;8.2;0.1;53;87;7.7;1.2;0.1;9.4;15.6;4;103;47
Año;11.5;17.6;5.2;435;68;68.5;9;15.2;45.2;80.6;76.3;;47
Enero;9.3;13.4;5.1;120;72;12.6;0.7;1.3;1.2;3.2;2.6;85;48
Febrero;9.7;14.3;5.1;86;69;10.6;0.7;1.2;1.9;2.1;2.7;97;48
Marzo;11.5;16.5;6.4;90;68;10.5;0.3;1;1.6;1;2.6;132;48
Abril;12.6;17.6;7.6;107;69;12.5;0;2.5;2;0.1;1.8;138;48
Mayo;15.7;20.8;10.6;78;69;10.5;0;3.1;1.6;0;2.1;169;48
Junio;18.4;23.4;13.4;60;70;7.2;0;2.6;1.2;0;3;180;48
Julio;20.4;25.4;15.4;50;71;7;0;2.8;1.1;0;3.9;186;48
Agosto;20.9;26;15.7;76;72;7.9;0;3.1;1.8;0;3.4;179;48
Septiembre;19.2;24.6;13.8;73;71;8.3;0;2.1;3;0;3.8;160;48
Octubre;16.4;21.4;11.4;111;71;10.8;0;1.4;2.5;0;2.7;126;48
Noviembre;12.4;16.6;8.1;147;73;12.7;0.1;1.6;1.8;0.8;2.6;88;48
Diciembre;9.9;13.9;5.9;122;72;12.3;0.3;0.9;1.7;2.9;2.8;78;48
Año;14.7;19.5;9.9;1134;70;124;2.2;23.7;21.5;9.6;33.6;1610;48
Enero;4.6;8.3;0.9;32;82;6.1;1.1;0.1;9.1;14.4;4.7;97;49
Febrero;6.4;11.4;1.3;25;73;5.1;1.2;0;3.3;11.2;5.2;144;49
Marzo;9.5;15.5;3.5;22;63;5;0.2;0.2;1;5;6;201;49
Abril;11.2;17.1;5.3;39;62;7.2;0.2;0.6;0.4;1.2;5.2;224;49
Mayo;15;21.2;8.7;43;58;7.4;0;2.8;0.2;0;5;264;49
Junio;19.8;27;12.6;23;51;3.8;0;2;0.1;0;9.6;318;49
Julio;22.7;30.4;14.9;12;47;2;0;2;0;0;15;354;49
Agosto;22.3;29.8;14.8;13;50;2.4;0;2;0;0;13.9;322;49
Septiembre;18.8;25.5;12;28;57;4.2;0;1.4;0.3;0;9.7;241;49
Octubre;13.6;19;8.3;50;69;6.9;0;0.4;2.3;0.1;5;175;49
Noviembre;8.4;12.7;4.1;45;78;7.1;0.2;0.1;5.9;5.2;5.3;113;49
Diciembre;5.5;9.2;1.8;46;82;7;0.8;0.1;7;11;4.9;87;49
Año;13.1;18.9;7.4;379;64;64.2;3.4;11.7;29.6;48.3;;2532;49
Enero;6.6;10.5;2.7;21;75;4;0.7;0;6.5;7.6;4.6;131;50
Febrero;8.2;13.1;3.3;22;67;3.9;0.4;0.1;2.9;5.2;5.1;165;50
Marzo;11.6;17.3;5.8;19;59;3.7;0.2;0.3;0.4;1.4;6.7;217;50
Abril;13.8;19.6;7.9;39;57;5.7;0;1.4;0.2;0.1;4.6;226;50
Mayo;18;24.1;11.8;44;54;6.4;0;4.1;0.3;0;4.5;274;50
Junio;22.6;29.3;15.8;26;49;4;0;3.9;0.1;0;8.2;307;50
Julio;25.3;32.4;18.3;17;47;2.6;0;3.8;0;0;14.6;348;50
Agosto;25;31.7;18.3;17;51;2.3;0;3.7;0;0;10.9;315;50
Septiembre;21.2;27.1;15.2;30;57;3.2;0;2.8;0.2;0;8;243;50
Octubre;16.2;21.4;11;36;67;5.4;0;1;1;0;5.4;195;50
Noviembre;10.6;14.8;6.3;30;73;5.1;0.1;0.1;3.9;1.9;4;148;50
Diciembre;7;10.8;3.2;21;76;4.8;0.5;0.1;7.1;6.5;4.3;124;50
Año;15.5;21;10;322;61;51.1;2.4;21.3;22.5;23.1;81.6;;50
Enero;13.4;15.8;11;122;72;8;;;;0;;;51
Febrero;13.7;15.9;11.4;145;75;9;;;;0;;;51
Marzo;14.8;17.4;12.2;90;68;6;;;;0;;;51
Abril;16.4;19.1;13.6;57;71;6;;;;0;;;51
Mayo;18.8;21.9;15.7;21;66;4;;;;0;;;51
Junio;22.3;25.7;18.8;3;67;1;;;;0;;;51
Julio;24.9;28.9;20.9;1;61;0;;;;0;;;51
Agosto;25;28.5;21.5;3;70;0;;;;0;;;51
Septiembre;22.8;25.8;19.8;37;72;2;;;;0;;;51
Octubre;20.2;22.8;17.5;82;75;7;;;;0;;;51
Noviembre;16.4;18.8;14;127;73;7;;;;0;;;51
Diciembre;14.3;16.4;12.1;161;73;10;;;;0;;;51
Año;18.5;21.4;15.7;70;70;5;;;;;;;51
Enero;13.3;16.7;9.9;58;72;6.3;0.1;1.4;0.2;0;6.3;184;52
Febrero;13.8;17;10.6;57;74;5.5;0;1.4;0.6;0;4.7;170;52
Marzo;15.2;18.5;11.9;44;73;4.6;0;1.1;1.1;0;5.6;192;52
Abril;16.6;20.1;13.2;36;69;4.6;0;1.1;0.5;0;5.7;220;52
Mayo;19.1;22.5;15.7;20;67;2.8;0;0.9;0.2;0;5.4;258;52
Junio;22.4;25.8;19;7;67;0.7;0;1;0.4;0;9.4;279;52
Julio;25.3;28.9;21.7;1;66;0.3;0;0.8;0.3;0;11.5;289;52
Agosto;25.9;29.4;22.4;4;69;0.8;0;1.1;0.2;0;10.3;268;52
Septiembre;23.8;27.1;20.5;16;72;2.2;0;1.6;0.1;0;5.7;210;52
Octubre;20.4;23.7;17.2;40;75;3.9;0;1.2;0.5;0;4.6;194;52
Noviembre;17;20.3;13.7;57;74;5.8;0;1.3;0.3;0;4.1;176;52
Diciembre;14.6;17.8;11.2;50;73;5.7;0;0.9;0.3;0;5.1;168;52
Año;18.9;22.3;15.6;391;71;43.7;0.1;13.5;4.7;0;77.7;2607;52
